"Age","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
38,0.000748659898781145,0.000711223550605156,0.000691440323381309,0.000642451394000765,0.000590031358309928,0.00064387112564801,0.00066157012643342,0.00062017896593014,0.000588918217672041,0.000555628530145791,0.000594250091861648,0.000616770528093724,0.000633103925244294,0.000754741661216474,0.000639787762462873,0.000667503337516639
39,0.000710576459739265,0.000749956877479585,0.000723706359523568,0.000657404012692986,0.000642644746510879,0.000707960716412326,0.000659888484391469,0.000642702507667292,0.000652033717419731,0.000650579607286539,0.000645003330323357,0.000655211470771966,0.000762628380064134,0.00079538051370065,0.000787487667031961,0.000742332032853676
40,0.00080341751133195,0.00084598237719824,0.000772451976095434,0.000725921945520125,0.000760494700539405,0.000711142191632486,0.000765216724708195,0.000716037300290573,0.000696476812246716,0.00069357648075008,0.000741395574786363,0.0007338480828879,0.000782518560880741,0.000844933375774071,0.000796435722032252,0.0008405531381942
41,0.000886747310478664,0.000874002272162167,0.000815692700960935,0.000790126697951976,0.000735717484485976,0.000802560116295536,0.000824151307880827,0.000779873526639996,0.000800116982620946,0.000826646462882552,0.000769846116792983,0.000711730679978761,0.000879280024826734,0.000947013442971323,0.0008792474364967,0.000888349815864609
42,0.000875182379821982,0.000927974361120798,0.000849704136207663,0.000913207119318304,0.000783566765683252,0.000872936750759945,0.000767421991365591,0.000869658606607815,0.000815144790434208,0.000834715327580948,0.000916272434578147,0.000773388534299313,0.000908449863234906,0.000960176672507695,0.000919520210234559,0.000920753553954601
43,0.000989806079790601,0.000987065703142664,0.000907061121964814,0.000887954891891529,0.000902493784596614,0.000901039022404126,0.000876598016146035,0.000868880740774292,0.000989304533288715,0.000956403269754769,0.000989200196460427,0.000842000152321609,0.000999240461729944,0.00109875350772415,0.000920594402892605,0.0010308936790544
44,0.00100181176139147,0.0010618957608447,0.00113004488654689,0.00101410796014245,0.000989938091931264,0.000966918621772894,0.000965592309370766,0.000977242466071337,0.00107270260764714,0.000931979849366993,0.00103036861573524,0.000973590158591664,0.00110117194134629,0.00120103044931308,0.000995333215283334,0.00111603588300868
45,0.00115134840372799,0.0011615248537159,0.00116012634896312,0.00107616840272284,0.00103768815656757,0.00112123059975999,0.00112048865551162,0.00102369772633981,0.00101211612752172,0.00107592025118208,0.00115369220747619,0.00111706698310077,0.00121181400940096,0.00122487098404123,0.00121979520204218,0.00116298270187787
46,0.00123438034106882,0.00123498734013983,0.00115539658896802,0.00116530694064054,0.00111120296839518,0.00112681505482948,0.00116126054463861,0.00111257280627541,0.00113994585257204,0.00109584165270959,0.00122829096400701,0.00117105528586059,0.00131754649037352,0.00134993021429619,0.00127314584829552,0.00122827728685271
47,0.0013971285879617,0.00124738757065579,0.00123464135899798,0.00115577400360112,0.00123411767831305,0.00119950124082147,0.0012198892678732,0.00128175593210367,0.00131607540941181,0.00131341836186361,0.00127389311488202,0.00126633956044786,0.00141677684581842,0.00150382742586419,0.00139038591890484,0.00141177271026338
48,0.00144105087112545,0.00137422097055984,0.00134570284859392,0.00135045900711472,0.00128046583639252,0.00128812773591325,0.00127172685202059,0.00128401617088036,0.00137434250622304,0.00134620876854241,0.00136988013548811,0.00132306452990927,0.00154236705301702,0.00170831873513289,0.00149611011370432,0.00151717053940759
49,0.00159870889428382,0.00152148900169202,0.00147988014926581,0.00141212225413645,0.0013866006664629,0.00143013068519582,0.00143667406332471,0.0014853553436357,0.00145689896580692,0.00155305348182599,0.00152833523764884,0.00148155563341512,0.00170559872269882,0.00184063545023316,0.00160956663078127,0.0016310033416348
50,0.00182035087719301,0.00162574899098589,0.00160752495465255,0.00151498104311287,0.00150373275074234,0.00149726661791849,0.00148834918792939,0.00172078588593305,0.00163774690735552,0.00157421144450509,0.00161737409948626,0.00165507057885905,0.001856426322845,0.00192831856018882,0.00180620592527059,0.00181984944281155
